,epoch,loss_train,loss_val,accuracy_train,accuracy_val
0,0,tensor(0.1596),tensor(0.0825),tensor(0.9573),tensor(0.9706)
1,1,tensor(0.0689),tensor(0.0639),tensor(0.9765),tensor(0.9782)
2,2,tensor(0.0608),tensor(0.0619),tensor(0.9788),tensor(0.9788)
3,3,tensor(0.0569),tensor(0.0609),tensor(0.9797),tensor(0.9790)
4,4,tensor(0.0545),tensor(0.0604),tensor(0.9806),tensor(0.9794)
5,5,tensor(0.0516),tensor(0.0594),tensor(0.9817),tensor(0.9794)
6,6,tensor(0.0496),tensor(0.0582),tensor(0.9823),tensor(0.9799)
7,7,tensor(0.0472),tensor(0.0581),tensor(0.9831),tensor(0.9799)
8,8,tensor(0.0441),tensor(0.0599),tensor(0.9840),tensor(0.9785)
9,9,tensor(0.0415),tensor(0.0594),tensor(0.9850),tensor(0.9788)
10,10,tensor(0.0389),tensor(0.0601),tensor(0.9857),tensor(0.9796)
11,11,tensor(0.0355),tensor(0.0607),tensor(0.9869),tensor(0.9798)
12,12,tensor(0.0334),tensor(0.0622),tensor(0.9880),tensor(0.9782)
13,13,tensor(0.0304),tensor(0.0623),tensor(0.9893),tensor(0.9781)
14,14,tensor(0.0281),tensor(0.0654),tensor(0.9902),tensor(0.9793)
15,15,tensor(0.0259),tensor(0.0653),tensor(0.9908),tensor(0.9790)
16,16,tensor(0.0239),tensor(0.0691),tensor(0.9917),tensor(0.9781)
17,17,tensor(0.0220),tensor(0.0729),tensor(0.9926),tensor(0.9794)
18,18,tensor(0.0197),tensor(0.0761),tensor(0.9934),tensor(0.9791)
19,19,tensor(0.0183),tensor(0.0749),tensor(0.9939),tensor(0.9788)
20,20,tensor(0.0171),tensor(0.0787),tensor(0.9942),tensor(0.9790)
21,21,tensor(0.0156),tensor(0.0811),tensor(0.9948),tensor(0.9784)
22,22,tensor(0.0144),tensor(0.0840),tensor(0.9954),tensor(0.9788)
23,23,tensor(0.0142),tensor(0.0845),tensor(0.9953),tensor(0.9787)
24,24,tensor(0.0131),tensor(0.0881),tensor(0.9956),tensor(0.9782)
25,25,tensor(0.0120),tensor(0.0941),tensor(0.9961),tensor(0.9790)
26,26,tensor(0.0110),tensor(0.0934),tensor(0.9964),tensor(0.9777)
27,27,tensor(0.0099),tensor(0.0974),tensor(0.9969),tensor(0.9785)
28,28,tensor(0.0091),tensor(0.0972),tensor(0.9972),tensor(0.9783)
29,29,tensor(0.0092),tensor(0.1041),tensor(0.9972),tensor(0.9791)
