,epoch,loss_train,loss_val,accuracy_train,accuracy_val
0,0,tensor(0.1439),tensor(0.0747),tensor(0.9629),tensor(0.9758)
1,1,tensor(0.0658),tensor(0.0626),tensor(0.9781),tensor(0.9785)
2,2,tensor(0.0594),tensor(0.0607),tensor(0.9799),tensor(0.9788)
3,3,tensor(0.0556),tensor(0.0620),tensor(0.9807),tensor(0.9785)
4,4,tensor(0.0529),tensor(0.0580),tensor(0.9818),tensor(0.9795)
5,5,tensor(0.0498),tensor(0.0579),tensor(0.9824),tensor(0.9794)
6,6,tensor(0.0459),tensor(0.0582),tensor(0.9834),tensor(0.9796)
7,7,tensor(0.0434),tensor(0.0580),tensor(0.9841),tensor(0.9797)
8,8,tensor(0.0404),tensor(0.0597),tensor(0.9850),tensor(0.9798)
9,9,tensor(0.0378),tensor(0.0587),tensor(0.9858),tensor(0.9797)
10,10,tensor(0.0340),tensor(0.0601),tensor(0.9871),tensor(0.9795)
11,11,tensor(0.0311),tensor(0.0600),tensor(0.9884),tensor(0.9795)
12,12,tensor(0.0283),tensor(0.0640),tensor(0.9897),tensor(0.9795)
13,13,tensor(0.0262),tensor(0.0644),tensor(0.9904),tensor(0.9793)
14,14,tensor(0.0243),tensor(0.0673),tensor(0.9912),tensor(0.9789)
15,15,tensor(0.0221),tensor(0.0707),tensor(0.9921),tensor(0.9798)
16,16,tensor(0.0209),tensor(0.0706),tensor(0.9928),tensor(0.9787)
17,17,tensor(0.0195),tensor(0.0728),tensor(0.9931),tensor(0.9791)
18,18,tensor(0.0185),tensor(0.0794),tensor(0.9934),tensor(0.9792)
19,19,tensor(0.0175),tensor(0.0784),tensor(0.9940),tensor(0.9792)
20,20,tensor(0.0159),tensor(0.0824),tensor(0.9947),tensor(0.9791)
21,21,tensor(0.0154),tensor(0.0834),tensor(0.9948),tensor(0.9794)
22,22,tensor(0.0149),tensor(0.0868),tensor(0.9948),tensor(0.9793)
23,23,tensor(0.0137),tensor(0.0841),tensor(0.9954),tensor(0.9788)
24,24,tensor(0.0125),tensor(0.0918),tensor(0.9957),tensor(0.9795)
25,25,tensor(0.0116),tensor(0.0937),tensor(0.9962),tensor(0.9793)
26,26,tensor(0.0107),tensor(0.0929),tensor(0.9962),tensor(0.9786)
27,27,tensor(0.0100),tensor(0.0913),tensor(0.9966),tensor(0.9773)
28,28,tensor(0.0089),tensor(0.0951),tensor(0.9970),tensor(0.9778)
29,29,tensor(0.0079),tensor(0.1031),tensor(0.9974),tensor(0.9792)
